Date,Volume,Adj Close
12/11/2006,3263400,483.93
12/8/2006,3974900,484.11
12/7/2006,4664300,482.64
12/6/2006,4450300,488.71
12/5/2006,4103000,487
12/4/2006,4899900,484.85
12/1/2006,5631400,480.8
11/30/2006,5577500,484.81
11/29/2006,6315300,484.65
11/28/2006,7797600,489.5
11/27/2006,7324700,484.75
11/24/2006,1732700,505
11/22/2006,4500700,508.01
11/21/2006,8427500,509.65
11/20/2006,5124500,495.05
11/17/2006,5511000,498.79
11/16/2006,5092600,495.9
11/15/2006,8370700,491.93
11/14/2006,7223400,489.3
11/13/2006,4341900,481.03
11/10/2006,2796700,473.55
11/9/2006,4879200,472.63
11/8/2006,7965000,475
11/7/2006,4897100,472.57
11/6/2006,4991500,476.95
11/3/2006,4907700,471.8
11/2/2006,5236700,469.91
11/1/2006,5426300,467.5
10/31/2006,6285400,476.39
10/30/2006,6563100,476.57
10/27/2006,6604000,475.2
10/26/2006,7031700,485.1
10/25/2006,9187500,486.6
10/24/2006,8660200,473.31
10/23/2006,15104500,480.78
10/20/2006,11647900,459.67
10/19/2006,11503500,426.06
10/18/2006,6017300,419.31
10/17/2006,5211000,420.64
10/16/2006,4319400,421.75
10/13/2006,3622500,427.3
10/12/2006,4844000,427.44
10/11/2006,5635400,426.5
10/10/2006,9788600,426.65
10/9/2006,7583300,429
10/6/2006,7336500,420.5
10/5/2006,5789800,411.81
10/4/2006,6661800,415.7
10/3/2006,5464700,404.04
10/2/2006,3651900,401.44
9/29/2006,3310900,401.9
9/28/2006,5107400,403.58
9/27/2006,5876700,402.92
9/26/2006,5289400,406.87
9/25/2006,5737300,403.98
9/22/2006,4649600,403.78
9/21/2006,10692100,406.85
9/20/2006,9147800,397
9/19/2006,14292900,403.81
9/18/2006,7106700,414.69
9/15/2006,7838200,409.88
9/14/2006,5366100,403.98
9/13/2006,9768200,406.57
9/12/2006,5442200,391.9
9/11/2006,4529200,384.09
9/8/2006,3083400,377.85
9/7/2006,3842000,378.49
9/6/2006,3724100,380.14
9/5/2006,4074300,384.36
9/1/2006,2672900,378.6
8/31/2006,2959900,378.53
8/30/2006,4044400,380.75
8/29/2006,4460000,378.95
8/28/2006,4164000,380.95
8/25/2006,2466700,373.26
8/24/2006,3482500,373.73
8/23/2006,3642300,373.43
8/22/2006,4164100,378.29
8/21/2006,4023300,377.3
8/18/2006,4952200,383.36
8/17/2006,5080200,385.8
8/16/2006,5853200,387.72
8/15/2006,6698200,380.97
8/14/2006,4968300,369.43
8/11/2006,3766500,368.5
8/10/2006,4261900,374.2
8/9/2006,4311000,376.94
8/8/2006,5743200,381
8/7/2006,3946900,377.95
8/4/2006,5095200,373.85
8/3/2006,6327000,375.39
8/2/2006,7097800,367.23
8/1/2006,5463200,375.51
7/31/2006,4595300,386.6
7/28/2006,4083600,388.12
7/27/2006,5641100,382.4
7/26/2006,5531900,385.5
7/25/2006,5761100,389.36
7/24/2006,8086100,390.9
7/21/2006,11754600,390.11
7/20/2006,12538700,387.12
7/19/2006,8518500,399
7/18/2006,8536800,403.05
7/17/2006,5811900,407.89
7/14/2006,7552100,403.5
7/13/2006,6924500,408.83
7/12/2006,4906700,417.25
7/11/2006,5971300,424.56
7/10/2006,4436400,418.2
7/7/2006,6041900,420.45
7/6/2006,3687100,423.19
